Player,Position,Games,Win rate,KDA,CSM,GPM,KP%,DMG%,DPM,GD@15,FB %
Khan,TOP,141,67.4%,3.5,8.5,406,58.4%,25.1,445,118,29.8%
Teddy,ADC,141,67.4%,7.5,10.6,465,62.0%,29.2,523,54,19.1%
Faker,MID,140,67.9%,4.1,9,409,59.9%,25.4,446,162,27.1%
Clid,JUNGLE,137,68.6%,5.1,5.2,339,71.9%,13.3,240,189,52.6%
ShowMaker,MID,127,59.8%,5.5,9,413,68.3%,23.9,429,124,10.2%
Nuclear,ADC,126,59.5%,5.2,9.7,439,67.2%,24.5,436,-116,14.3%
JackeyLove,ADC,125,64%,4.2,9.5,463,62.4%,26.0,575,60,2.4%
Baolan,SUPPORT,119,64.7%,3.4,1.4,261,64.9%,8.4,183,-295,3.4%
RooKie,MID,116,63.8%,3.9,8.1,403,63.3%,26.5,590,173,4.3%
TheShy,TOP,114,64%,2.7,8.2,415,54.6%,26.2,566,680,4.4%
Canyon,JUNGLE,112,59.8%,3.6,5,327,70.1%,15.0,276,-75,24.1%
Nuguri,TOP,112,61.6%,2.8,9.3,437,61.7%,29.7,538,257,13.4%
Chovy,MID,110,70.9%,6.8,9.9,427,59.8%,23.7,411,406,28.2%
Crisp,SUPPORT,110,77.3%,4.7,1.6,282,66.6%,7.9,148,368,8.2%
GimGoon,TOP,110,77.3%,5,7.5,389,55.3%,22.3,412,-148,8.2%
Lwx,ADC,110,77.3%,5.7,9.7,471,64.0%,26.7,506,606,4.5%
Tarzan,JUNGLE,110,70.9%,6.3,5.5,345,71.8%,15.6,269,343,52.7%
Viper,ADC,110,70.9%,7.6,10.4,462,63.5%,28.2,483,368,35.5%
Cuzz,JUNGLE,109,58.7%,3.8,5.4,339,67.9%,15.8,277,158,39.4%
Deft,ADC,109,58.7%,4.4,9.7,441,69.6%,33.0,588,138,20.2%
Doinb,MID,109,77.1%,5.5,9.1,441,69.8%,25.7,471,195,9.2%
Lehends,SUPPORT,109,70.6%,6.4,1.8,274,67.6%,10.2,180,354,33%
Rascal,TOP,109,58.7%,3.1,8.3,392,59.6%,21.2,369,-275,27.5%
TusiN,SUPPORT,109,58.7%,3.8,1.6,262,67.6%,8.1,140,137,23.9%
Humanoid,MID,108,60.2%,2.8,9.4,426,56.9%,26.2,512,174,16.7%
Ning,JUNGLE,108,63.9%,3.2,5.4,367,66.4%,14.3,318,66,7.4%
Tian,JUNGLE,108,77.8%,4.9,5.1,355,69.2%,17.5,330,509,10.2%
BigKoro,ADC,107,56.1%,4.3,9.3,445,60.1%,25.1,472,350,26.2%
Naul,MID,107,56.1%,4.6,8.9,408,59.1%,24.9,465,214,15%
Palette,SUPPORT,107,56.1%,3.5,1.7,267,66.6%,9.9,180,333,27.1%
Yagao,MID,101,49.5%,3.4,8.2,388,70.2%,27.4,498,522,0%
Dove,MID,99,57.6%,4,8.7,391,68.7%,25.8,445,-15,18.2%
Ghost,ADC,99,57.6%,3.9,9.7,430,64.4%,25.9,458,-75,14.1%
Joker,SUPPORT,99,57.6%,2.3,1.9,262,64.8%,8.6,147,41,17.2%
Kiin,TOP,98,42.9%,2.6,8.6,392,59.2%,25.0,410,269,20.4%
Knight9,MID,98,63.3%,4.9,9.3,430,67.4%,28.9,539,171,0%
